org_ID,parent_ID,code,finance_code,name,name_short_30,name_short_15,org_type_ID,org_type,active,location_address1,location_address2,location_address3,location_city,location_state,location_zip,matches,score,match_address,x,y
2829,,07353,,A Childs University - Cranston,A Childs University,A Childs Univer,2,School,Y,695 Park Avenue,,,Cranston,RI,2910,1.0,100.0,"695 PARK AV, CRANSTON, RI, 02910",347536.61425831704,253094.30644278956
2928,,17304,,A Childs University - Smithfield,A Childs University,AChilds Univers,2,School,Y,370 George Washington Highway,,,Smithfield,RI,2917,2.0,100.0,"370 GEORGE WASHINGTON HWY, SMITHFIELD, RI, 02917",325939.6531035338,306458.9373381288
2607,,32340,,Middlebridge School,Middlebridge School,Middlebridge,2,School,Y,333 Ocean Rd,,,Narragansett,RI,2882,2.0,100.0,"333 OCEAN RD, NARRAGANSETT, RI, 02882",339544.10753474524,121061.94096040245
3232,,27306,,Sea Rose Montessori Co-op,Sea Rose Montessori Co-op,Sea Rose Montes,2,School,Y,324 East Main Road,St. Mary's Episcapol Church House,,Portsmouth,RI,2871,5.0,100.0,"324 E MAIN RD, PORTSMOUTH, RI, 02871",393209.428556585,168938.6686907053
139,,01332,,Barrington Christian Academy,Barrington Christian Academy,Barr. Academy,2,School,Y,9 Old County Road,,,Barrington,RI,2806,1.0,100.0,"9 OLD COUNTY RD, BARRINGTON, RI, 02806",375140.1955193917,245072.83999641542
126,,01303,,Montessori Centre of Barrington,Montessori Centre,Montessori,2,School,Y,303 Sowams Road,,,Barrington,RI,2806,1.0,100.0,"303 SOWAMS RD, BARRINGTON, RI, 02806",384282.001085945,244207.8041131517
129,,01322,,Red Brick School,Red Brick School,Red Brick,2,School,Y,50 Middle Highway,,,Barrington,RI,2806,5.0,100.0,"50 MIDDLE HWY, BARRINGTON, RI, 02806",374267.62820452,245478.74410349986
124,,01301,,St. Andrew's School,St. Andrew's School,St. Andrew's,2,School,Y,63 Federal Road,,,Barrington,RI,2806,5.0,100.0,"63 FEDERAL RD, BARRINGTON, RI, 02806",375176.65494581213,242535.58437025038
170,,03311,,Community Christian School                        ,Community Christian           ,Community      ,2,School,Y,113 Church Street             ,,,Pascoag,RI,2859,1.0,94.46,"113 CHURCH ST, BURRILLVILLE, RI, 02859",272060.7392535313,319154.03585015266
2487,,07351,,Miss Lee Ann's Early Learning Center,Miss Lee Ann's,Miss Lee,2,School,Y,180 Oaklawn Avenue,,,Cranston,RI,2920,2.0,100.0,"180 OAKLAWN AV, CRANSTON, RI, 02920",336410.9883598271,250461.4504169873
408,,09327,,"A Step Up, Inc.                                   ","A Step Up, Inc.               ","A Step Up, Inc.",2,School,Y,88 Crompton Road              ,,,East Greenwich,RI,2818,1.0,100.0,"88 CROMPTON RD, EAST GREENWICH, RI, 02818",319515.2150299418,210519.7382925155
408,,09327,,"A Step Up, Inc.                                   ","A Step Up, Inc.               ","A Step Up, Inc.",2,School,Y,88 Crompton Road              ,,,East Greenwich,RI,2818,1.0,100.0,"88 CROMPTON RD, EAST GREENWICH, RI, 02818",319515.2150299418,210519.7382925155
399,,09301,,The Stork's Nest Child Academy               ,The Stork's Nest Child Academy,Stork's Nest   ,2,School,Y,3116 South County Trail       ,,,East Greenwich,RI,2818,1.0,100.0,"3116 S COUNTY TRL, EAST GREENWICH, RI, 02818",330488.6338287729,192563.66313138313
473,,10333,,Ocean State Montessori School,Ocean State Montessori School,Montessori,2,School,Y,100 Grove Avenue,PO Box 14423,,East Providence,RI,2914,1.0,100.0,"100 GROVE AV, EAST PROVIDENCE, RI, 02914",362834.98641153856,267792.12723674683
452,,10301,,Providence Country Day School,Providence Country Day,Country Day,2,School,Y,660 Waterman Avenue,,,East Providence,RI,2914,5.0,100.0,"660 WATERMAN AVE, EAST PROVIDENCE, RI, 02914",367647.7298490064,267561.2228240823
455,,10304,,The Gordon School,The Gordon School,Gordon School,2,School,Y,45 Maxfield Avenue,,,East Providence,RI,2914,1.0,100.0,"45 MAXFIELD AV, EAST PROVIDENCE, RI, 02914",362825.8209884495,261492.40792554402
462,,10312,,The Wolf School,The Wolf School,Wolf School,2,School,Y,215 Ferris Avenue,,,East Providence,RI,2916,1.0,100.0,"215 FERRIS AV, EAST PROVIDENCE, RI, 02916",369514.28353018704,278792.4910310201
462,,10312,,The Wolf School,The Wolf School,Wolf School,2,School,Y,215 Ferris Avenue,,,East Providence,RI,2916,1.0,100.0,"215 FERRIS AV, EAST PROVIDENCE, RI, 02916",369514.28353018704,278792.4910310201
1618,,97304,,Quest Montessori School,Quest Montessori School,Quest Montessor,2,School,Y,1150 Boston Neck Road,,,Narragansett,RI,2882,1.0,100.0,"1150 BOSTON NECK RD, NARRAGANSETT, RI, 02882",344717.45940768346,147567.68221215223
509,,13301,,Harmony Hill School,Harmony Hill School,Harmony Hill,2,School,Y,63 Harmony Hill Road,,,Chepachet,RI,2814,5.0,94.81,"63 HARMONY HILL RD, GLOCESTER, RI, 02814",293571.46373170346,303399.5738417857
509,,13301,,Harmony Hill School,Harmony Hill School,Harmony Hill,2,School,Y,63 Harmony Hill Road,,,Chepachet,RI,2814,5.0,94.81,"63 HARMONY HILL RD, GLOCESTER, RI, 02814",293571.46373170346,303399.5738417857
552,,16334,,Trinity Christian Academy,Trinity Christian Academy,Trinity Chrst,2,School,Y,2119 Hartford Avenue,,,Johnston,RI,2919,2.0,100.0,"2119 HARTFORD AV, JOHNSTON, RI, 02919",320009.2436290378,272558.5359109306
626,,19321,,Silveira Kindergarten and Nursery School          ,Silveira School               ,Silveira School,2,School,Y,143 Peckham Lane              ,,,Middletown,RI,2842,1.0,100.0,"143 PECKHAM LN, MIDDLETOWN, RI, 02842",396580.22210401756,159026.17041892477
617,,19301,,St. George's School,St. George's School,St. George's,2,School,Y,372 Purgatory Road,,,Middletown,RI,2842,1.0,100.0,"372 PURGATORY RD, MIDDLETOWN, RI, 02842",390265.9039514514,147731.73575004865
1525,,20332,,"Ocean Tides, Inc.","Ocean Tides, Inc.","Ocean Tides,Inc",2,School,Y,635 Ocean Road,,,Narragansett,RI,2882,3.0,100.0,"635 OCEAN RD, NARRAGANSETT, RI, 02882",337406.60871761705,116186.94324070668
1525,,20332,,"Ocean Tides, Inc.","Ocean Tides, Inc.","Ocean Tides,Inc",2,School,Y,635 Ocean Road,,,Narragansett,RI,2882,3.0,100.0,"635 OCEAN RD, NARRAGANSETT, RI, 02882",337406.60871761705,116186.94324070668
686,,21304,,St. Michael's Country Day School,St. Michael School,St. Michael,2,School,Y,180 Rhode Island Avenue,,,Newport,RI,2840,1.0,100.0,"180 RHODE ISLAND AV, NEWPORT, RI, 02840",382607.1122258914,146613.71673913262
742,,23331,,South County Montessori School,South County Montessori School,South County,2,School,Y,1239 Tower Hill Road,,,North Kingstown,RI,2852,1.0,100.0,"1239 TOWER HILL RD, NORTH KINGSTOWN, RI, 02852",336522.496380412,167450.6497593016
745,,23334,,West Bay Christian Academy,West Bay Christian,West Bay,2,School,Y,475 School Street,,,North Kingstown,RI,2852,1.0,100.0,"475 SCHOOL ST, NORTH KINGSTOWN, RI, 02852",335588.8725149319,193760.86330715116
840,,26327,,Smithfield Avenue Nursery School and Kindergarten,Smithfield Avenue Nursery,Smithfield Ave.,2,School,Y,514 Smithfield Avenue,,,Pawtucket,RI,2860,1.0,100.0,"514 SMITHFIELD AV, PAWTUCKET, RI, 02860",351203.3664957528,288842.8117250281
848,,26336,,The Tides School - Pawtucket,The Tides School - Pawtucket,Tides School,2,School,Y,215 Washington St,,,West Warwick,RI,2893,1.0,100.0,"215 WASHINGTON ST, WEST WARWICK, RI, 02893",320362.66964078933,225195.19481957564
848,,26336,,The Tides School - Pawtucket,The Tides School - Pawtucket,Tides School,2,School,Y,215 Washington St,,,West Warwick,RI,2893,1.0,100.0,"215 WASHINGTON ST, WEST WARWICK, RI, 02893",320362.66964078933,225195.19481957564
879,,27301,,Portsmouth Abbey School,Portsmouth Abbey School,Portsmouth Abby,2,School,Y,285 Cory's Lane,,,Portsmouth,RI,2871,5.0,98.08,"285 CORYS LN, PORTSMOUTH, RI, 02871",390182.2253440278,189038.30271504118
887,,27324,,The Pennfield School,The Pennfield School,Pennfield Schl,2,School,Y,110 Sandy Point Road,,,Portsmouth,RI,2871,1.0,90.92,"110 SANDY POINT AV, PORTSMOUTH, RI, 02871",395873.4414684918,171048.39361865452
1009,,28315,,Community Preparatory School,Community Preparatory,Community Prep.,2,School,Y,135 Prairie Avenue,,,Providence,RI,2907,2.0,100.0,"85 TAFT AVE, PROVIDENCE, 02906",356408.0089124895,276273.8474259185
1033,,28342,,Jewish Community Day School of Rhode Island,Jewish Community Day School,Jewish Comm,2,School,Y,85 Taft Avenue,,,Providence,RI,2906,1.0,100.0,"85 TAFT AV, PROVIDENCE, RI, 02906",356374.9178052629,276353.3581796912
998,,28304,,Lincoln School,Lincoln School,Lincoln School,2,School,Y,301 Butler Avenue,,,Providence,RI,2906,5.0,100.0,"301 BUTLER AV, PROVIDENCE, RI, 02906",359732.3380049428,272869.13706828334
900,,10305,,Meeting Street School,Meeting Street School,Meeting Street,2,School,Y,1000 Eddy Street,,,Providence,RI,2905,1.0,100.0,"1000 EDDY ST, PROVIDENCE, RI, 02905",354045.32583914365,261611.24511180122
900,,10305,,Meeting Street School,Meeting Street School,Meeting Street,2,School,Y,1000 Eddy Street,,,Providence,RI,2905,1.0,100.0,"1000 EDDY ST, PROVIDENCE, RI, 02905",354045.32583914365,261611.24511180122
1061,,28371,,Montessori Children's House,Montessori Children's House,Montessori,2,School,Y,518 Lloyd Avenue,,,Providence,RI,2906,1.0,100.0,"518 LLOYD AV, PROVIDENCE, RI, 02906",358958.5438887006,273961.6983332848
999,,28305,,Moses Brown School,Moses Brown School,Moses Brown,2,School,Y,250 Lloyd Avenue,,,Providence,RI,2906,5.0,100.0,"250 LLOYD AV, PROVIDENCE, RI, 02906",355503.25077210524,273309.4700104332
1071,,28381,,Mount Pleasant Academy,Mount Pleasant Academy,Mount Pleasant,2,School,Y,1246 Chalkstone Avenue,,,Providence,RI,2908,1.0,100.0,"1246 CHALKSTONE AV, PROVIDENCE, RI, 02908",341708.2063054253,272955.6077388202
1066,,28376,,Ocean Tides School,Ocean Tides School,Ocean Tides,2,School,Y,260 Highland Avenue,,,Providence,RI,2906,1.0,100.0,"260 HIGHLAND AV, PROVIDENCE, RI, 02906",355705.9727977205,280824.4466896689
1066,,28376,,Ocean Tides School,Ocean Tides School,Ocean Tides,2,School,Y,260 Highland Avenue,,,Providence,RI,2906,1.0,100.0,"260 HIGHLAND AV, PROVIDENCE, RI, 02906",355705.9727977205,280824.4466896689
1002,,28308,,Providence Hebrew Day/N.E. Academy of Torah,Providence Hebrew Day School,Hebrew Day,2,School,Y,450 Elmgrove Avenue,,,Providence,RI,2906,1.0,100.0,"450 ELMGROVE AV, PROVIDENCE, RI, 02906",357279.14965407795,277056.839104265
1039,,28348,,Roger Williams Day Care Center,Roger Williams Day Care,Roger Williams,2,School,Y,64 Applegate Lane,,,Providence,RI,2905,2.0,100.0,"64 APPLEGATE LN, PROVIDENCE, RI, 02905",352892.9533471383,260551.45092839294
1063,,28373,,San Miguel School,San Miguel School,San Miguel,2,School,Y,525 Branch Avenue,,,Providence,RI,2904,1.0,100.0,"525 BRANCH AV, PROVIDENCE, RI, 02904",349194.1439418839,280024.8021936369
1044,,28353,,School One,School One,School One,2,School,Y,220 University Avenue,,,Providence,RI,2906,1.0,100.0,"220 UNIVERSITY AV, PROVIDENCE, RI, 02906",359420.8722598647,273832.7319862446
1072,,28382,,Sophia Academy,Sophia Academy,Sophia Academy,2,School,Y,582 Elmwood Avenue,,,Providence,RI,2907,2.0,100.0,"582 ELMWOOD AV, PROVIDENCE, RI, 02907",348524.3581426086,259863.5920728576
1067,,28377,,The French-American School of RI,The French-American School,French-American,2,School,Y,75 John Street,,,Providence,RI,2906,1.0,100.0,"75 JOHN ST, PROVIDENCE, RI, 02906",356169.4195805293,269081.12441936
2431,,28384,,The Grace School,The Grace School,Grace School,2,School,Y,1000 Eddy Street,,,Providence,RI,2905,1.0,100.0,"1000 EDDY ST, PROVIDENCE, RI, 02905",354045.32583914365,261611.24511180122
1007,,28313,,The Wheeler School,The Wheeler School,Wheeler School,2,School,Y,216 Hope Street,,,Providence,RI,2906,3.0,100.0,"216 HOPE ST, PROVIDENCE, RI, 02906",355539.61104855716,271508.9145142914
1617,,97303,,Meadowbrook Waldorf School,Meadowbrook Waldorf School,Meadowbrook,2,School,Y,300 Kingstown Road,,,Richmond,RI,2892,1.0,100.0,"300 KINGSTOWN RD, RICHMOND, RI, 02892",289444.3264624864,152516.39595043572
1338,,35326,,Overbrook Academy,Overbrook Academy,Overbrook,2,School,Y,60 Austin Avenue,,,Greenville,RI,2828,1.0,95.28,"60 AUSTIN AV, SMITHFIELD, RI, 02828",311980.5471669599,289817.05534960737
1163,,31321,,The Children's Workshop-Smithfield,The Children's Workshop-S,Children's,2,School,Y,22 Cedar Swamp Road,,,Smithfield,RI,2917,1.0,90.1,"22 CEDAR SWAMP RD, SMITHFIELD, RI, 02828",319104.87297026685,287892.9074347187
1161,,31302,,The Little Village Schoolhouse,The Little Village Schoolhouse,Little Village,2,School,Y,170 Pleasant View Avenue,,,Smithfield,RI,2917,1.0,100.0,"170 PLEASANT VIEW AV, SMITHFIELD, RI, 02917",316463.95010302664,294957.5608209776
1352,,35356,,Apponaug Christian Academy,Apponaug Christian Academy,Apponaug,2,School,Y,75 Prospect Street,,,Warwick,RI,2886,1.0,100.0,"75 PROSPECT ST, WARWICK, RI, 02886",340019.5197357539,225192.58122640575
1326,,35313,,"Little Red Hen Preschool/Kindergarten, Inc.       ",Little Red Hen Preschool/KG   ,Little Red Hen ,2,School,Y,358 Forge Road                ,            ,,Warwick,RI,2818,1.0,90.92,"358 OLD FORGE RD, WARWICK, RI, 02818",340060.3774547774,205280.2811525724
1331,,35318,,Progressive Learning for Children,Progressive Learning,Progressive,2,School,Y,189 Tollgate Road,,,Warwick,RI,2886,2.0,98.65,"189 TOLL GATE RD, WARWICK, RI, 02886",336456.7004613089,225207.55683764946
1315,,35301,,Rocky Hill School,Rocky Hill School,Rocky Hill,2,School,Y,530 Ives Road,,,East Greenwich,RI,2818,5.0,96.75,"530 IVES RD, WARWICK, RI, 02818",349305.3584785621,209708.39013420048
1340,,35328,,Tender Hearts Child Care and Learning Center,Tender Hearts Child Care,Tender Hearts,2,School,Y,935 Jefferson Boulevard,,,Warwick,RI,2886,1.0,100.0,"935 JEFFERSON BLVD, WARWICK, RI, 02886",342598.17245677114,232159.0880418361
1365,,35371,,The Stork's Nest Child Academy III,The Stork's Nest,Stork's Nest,2,School,Y,1100 Tollgate Road,,,Warwick,RI,2886,2.0,98.65,"1100 TOLL GATE RD, WARWICK, RI, 02886",328182.29451326857,228614.94465545964
1438,,38306,,Islamic School of RI,Islamic School of RI,Islamic School,2,School,Y,840 Providence Street,,,West Warwick,RI,2893,2.0,100.0,"840 PROVIDENCE ST, WEST WARWICK, RI, 02893",330112.39539226657,233252.68839850754
1437,,38305,,The Tides School - West Warwick,The Tides School - WW,The Tides,2,School,Y,222 Washington Street,,,West Warwick,RI,2893,1.0,100.0,"222 WASHINGTON ST, WEST WARWICK, RI, 02893",320475.8116528553,225052.03416304363
1497,,39332,,Hillside Alternative Program,Hillside Alternative Program,Hillside,2,School,Y,141 Main Street,,,Woonsocket,RI,2895,1.0,100.0,"141 MAIN ST, WOONSOCKET, RI, 02895",324259.0056133091,334899.7409333008
1497,,39332,,Hillside Alternative Program,Hillside Alternative Program,Hillside,2,School,Y,141 Main Street,,,Woonsocket,RI,2895,1.0,100.0,"141 MAIN ST, WOONSOCKET, RI, 02895",324259.0056133091,334899.7409333008
